2025-06-01 10:12:01 | INFO     | trading_bot        | Starting Binance Futures Testnet Trading Bot
2025-06-01 10:12:01 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised. Base URL: https://testnet.binancefuture.com

--- MARKET ORDER ---
2025-06-01 10:12:02 | INFO     | trading_bot.orders | Validated order request  symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=N/A
2025-06-01 10:12:02 | INFO     | trading_bot.client | Placing order  symbol=BTCUSDT  side=BUY  type=MARKET  qty=0.001  price=N/A
2025-06-01 10:12:02 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order  body={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1748768722341, 'recvWindow': 5000, 'signature': 'a3f9...'}
2025-06-01 10:12:02 | DEBUG    | trading_bot.client | Response  status=200  body={"orderId":4751823901,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"x-abc123","price":"0","avgPrice":"67254.30","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"67.2543","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1748768722500}
2025-06-01 10:12:02 | INFO     | trading_bot.orders | Order placed successfully. Response: {'orderId': 4751823901, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'avgPrice': '67254.30', 'origQty': '0.001', 'executedQty': '0.001', ...}

--- LIMIT ORDER ---
2025-06-01 10:14:15 | INFO     | trading_bot.orders | Validated order request  symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=70000
2025-06-01 10:14:15 | INFO     | trading_bot.client | Placing order  symbol=BTCUSDT  side=SELL  type=LIMIT  qty=0.001  price=70000
2025-06-01 10:14:15 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order  body={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '70000', 'timeInForce': 'GTC', 'timestamp': 1748768855102, 'recvWindow': 5000, 'signature': 'b7c2...'}
2025-06-01 10:14:15 | DEBUG    | trading_bot.client | Response  status=200  body={"orderId":4751829042,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-def456","price":"70000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1748768855300}
2025-06-01 10:14:15 | INFO     | trading_bot.orders | Order placed successfully. Response: {'orderId': 4751829042, 'symbol': 'BTCUSDT', 'status': 'NEW', 'price': '70000', 'origQty': '0.001', 'executedQty': '0', ...}

--- STOP_MARKET ORDER (Bonus) ---
2025-06-01 10:16:40 | INFO     | trading_bot.orders | Validated order request  symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.001 price=60000
